Something 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
382	0.00212951	0.00212951	0.00301158	13.7026	0	1
383	0.00210821	0.00210821	0.00298147	13.7055	0	1
384	0.00208713	0.00208713	0.00295165	13.7085	0	1
385	0.00206626	0.00206626	0.00292213	13.7114	0	1
386	0.0020456	0.0020456	0.00289291	13.7143	0	1
387	0.00202514	0.00202514	0.00286398	13.7172	0	1
388	0.00200489	0.00200489	0.00283534	13.72	0	1
389	0.00198484	0.00198484	0.00280699	13.7228	0	1
390	0.00196499	0.00196499	0.00277892	13.7256	0	1
391	0.00194534	0.00194534	0.00275113	13.7284	0	1
392	0.00192589	0.00192589	0.00272362	13.7311	0	1
393	0.00190663	0.00190663	0.00269638	13.7338	0	1
394	0.00188756	0.00188756	0.00266942	13.7364	0	1
395	0.00186869	0.00186869	0.00264273	13.7391	0	1
396	0.00185	0.00185	0.0026163	13.7417	0	1
397	0.0018315	0.0018315	0.00259014	13.7443	0	1
398	0.00181319	0.00181319	0.00256423	13.7469	0	1
399	0.00179506	0.00179506	0.00253859	13.7494	0	1
400	0.0017771	0.0017771	0.00251321	13.7519	0	1
401	0.00175933	0.00175933	0.00248807	13.7544	0	1
402	0.00174174	0.00174174	0.00246319	13.7569	0	1
403	0.00172432	0.00172432	0.00243856	13.7593	0	1
404	0.00170708	0.00170708	0.00241418	13.7617	0	1
405	0.00169001	0.00169001	0.00239003	13.7641	0	1
406	0.00167311	0.00167311	0.00236613	13.7665	0	1
407	0.00165638	0.00165638	0.00234247	13.7688	0	1
408	0.00163981	0.00163981	0.00231905	13.7711	0	1
409	0.00162342	0.00162342	0.00229586	13.7734	0	1
410	0.00160718	0.00160718	0.0022729	13.7757	0	1
411	0.00159111	0.00159111	0.00225017	13.7779	0	1
412	0.0015752	0.0015752	0.00222767	13.7802	0	1
413	0.00155945	0.00155945	0.00220539	13.7824	0	1
414	0.00154385	0.00154385	0.00218334	13.7846	0	1
415	0.00152841	0.00152841	0.0021615	13.7867	0	1
416	0.00151313	0.00151313	0.00213989	13.7889	0	1
417	0.001498	0.001498	0.00211849	13.791	0	1
418	0.00148302	0.00148302	0.0020973	13.7931	0	1
419	0.00146819	0.00146819	0.00207633	13.7952	0	1
